stationcode,brand,name,address,lat,long,fueltype,fueltype_long,price,collection_datetime,collection_date
40,Caltex Woolworths,Caltex Woolworths Prospect Vale,"360-364 Westbury Road, Prospect Vale TAS 7250",-41.4810797,147.1259995,DL,Diesel,234.9,2022-11-23 14:00:11.020981,2022-11-23
40,Caltex Woolworths,Caltex Woolworths Prospect Vale,"360-364 Westbury Road, Prospect Vale TAS 7250",-41.4810797,147.1259995,P95,Premium 95,200.9,2022-11-23 14:00:11.020981,2022-11-23
40,Caltex Woolworths,Caltex Woolworths Prospect Vale,"360-364 Westbury Road, Prospect Vale TAS 7250",-41.4810797,147.1259995,U91,Unleaded 91,186.9,2022-11-23 14:00:11.020981,2022-11-23
41,Caltex Woolworths,Caltex Woolworths Sorell,"12 Weston Hill Road, Sorell TAS 7172",-42.7802,147.565,LPG,LPG,129.7,2022-11-23 14:00:11.020981,2022-11-23
41,Caltex Woolworths,Caltex Woolworths Sorell,"12 Weston Hill Road, Sorell TAS 7172",-42.7802,147.565,P95,Premium 95,214.9,2022-11-23 14:00:11.020981,2022-11-23
41,Caltex Woolworths,Caltex Woolworths Sorell,"12 Weston Hill Road, Sorell TAS 7172",-42.7802,147.565,P98,Premium 98,221.9,2022-11-23 14:00:11.020981,2022-11-23
41,Caltex Woolworths,Caltex Woolworths Sorell,"12 Weston Hill Road, Sorell TAS 7172",-42.7802,147.565,PDL,Premium Diesel,249.9,2022-11-23 14:00:11.020981,2022-11-23
41,Caltex Woolworths,Caltex Woolworths Sorell,"12 Weston Hill Road, Sorell TAS 7172",-42.7802,147.565,U91,Unleaded 91,199.9,2022-11-23 14:00:11.020981,2022-11-23
42,EG Ampol, EG Ampol Ulverstone,"20-22 Eastland Drive, Ulverstone TAS 7315",-41.1587,146.184,P95,Premium 95,210.9,2022-11-23 14:00:11.020981,2022-11-23
42,EG Ampol, EG Ampol Ulverstone,"20-22 Eastland Drive, Ulverstone TAS 7315",-41.1587,146.184,PDL,Premium Diesel,247.9,2022-11-23 14:00:11.020981,2022-11-23
42,EG Ampol, EG Ampol Ulverstone,"20-22 Eastland Drive, Ulverstone TAS 7315",-41.1587,146.184,U91,Unleaded 91,197.9,2022-11-23 14:00:11.020981,2022-11-23
43,Caltex Woolworths,Caltex Woolworths Wynyard,"34 Jackson Street, Wynyard TAS 7325",-40.9904269,145.7282697,LPG,LPG,129.9,2022-11-23 14:00:11.020981,2022-11-23
43,Caltex Woolworths,Caltex Woolworths Wynyard,"34 Jackson Street, Wynyard TAS 7325",-40.9904269,145.7282697,P95,Premium 95,213.9,2022-11-23 14:00:11.020981,2022-11-23
43,Caltex Woolworths,Caltex Woolworths Wynyard,"34 Jackson Street, Wynyard TAS 7325",-40.9904269,145.7282697,PDL,Premium Diesel,243.9,2022-11-23 14:00:11.020981,2022-11-23
43,Caltex Woolworths,Caltex Woolworths Wynyard,"34 Jackson Street, Wynyard TAS 7325",-40.9904269,145.7282697,U91,Unleaded 91,198.9,2022-11-23 14:00:11.020981,2022-11-23
44,Coles Express,Coles Express Blackmans Bay,"176 Roslyn Avenue, Blackmans Bay TAS 7052",-43.0001808,147.320607,DL,Diesel,247.9,2022-11-23 14:00:11.020981,2022-11-23
44,Coles Express,Coles Express Blackmans Bay,"176 Roslyn Avenue, Blackmans Bay TAS 7052",-43.0001808,147.320607,P95,Premium 95,216.9,2022-11-23 14:00:11.020981,2022-11-23
44,Coles Express,Coles Express Blackmans Bay,"176 Roslyn Avenue, Blackmans Bay TAS 7052",-43.0001808,147.320607,U91,Unleaded 91,199.9,2022-11-23 14:00:11.020981,2022-11-23
45,Coles Express,Coles Express Brighton,"146 Brighton Road (Cnr Andrew Street), Brighton TAS 7030",-42.700453,147.251113,DL,Diesel,242.9,2022-11-23 14:00:11.020981,2022-11-23
